Title,Theme,Studio,Source,Episodes,Rating,Members,Date,Img_url
Bonobono (TV 2016),Anthropomorphic,Eiken,4-koma manga,? eps,6.37,3.2K,"Apr 2, 2016",https://cdn.myanimelist.net/images/anime/13/77617.jpg
Ninjala (TV),Unknown,OLM,Game,? eps,5.47,2.8K,"Jan 8, 2022",https://cdn.myanimelist.net/images/anime/1552/119871.jpg
Youkai Watch ♪,Mythology,OLM,Game,98 eps,6.42,2.6K,"Apr 9, 2021",https://cdn.myanimelist.net/images/anime/1682/118273.jpg
Shikaru Neko,Unknown,Unknown,Manga,? eps,N/A,2.3K,"Mar 22, 2021",https://cdn.myanimelist.net/images/anime/1008/113384.jpg
Ojarumaru,Unknown,Gallop,Original,? eps,6.36,2.1K,"Oct 5, 1998",https://cdn.myanimelist.net/images/anime/1839/132018.jpg
Fushigi Dagashiya: Zenitendou,Unknown,"Gallop, Kanaban Graphics, Toei Animation",Novel,? eps,5.97,1.9K,Unknown,https://cdn.myanimelist.net/images/anime/1544/141797.jpg
Puzzle & Dragon,Strategy Game,Pierrot,Game,? eps,5.80,1.6K,"Apr 2, 2018",https://cdn.myanimelist.net/images/anime/1535/95070.jpg
Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,Unknown,Unknown,Original,? eps,N/A,1.2K,"Nov 16, 2012",https://cdn.myanimelist.net/images/anime/6/72182.jpg
Mamekichi Mameko NEET no Nichijou,Unknown,Tezuka Productions,Web manga,48 eps,N/A,981,"Oct 3, 2022",https://cdn.myanimelist.net/images/anime/1920/127864.jpg
Hanakappa,Unknown,"OLM, Xebec",Picture book,? eps,5.93,973,"Mar 29, 2010",https://cdn.myanimelist.net/images/anime/1105/90503.jpg
Cap Kakumei Bottleman DX,Strategy Game,Gaina,Game,51 eps,6.01,950,"Apr 3, 2022",https://cdn.myanimelist.net/images/anime/1699/121192.jpg
Shiawase Haitatsu Taneko,Unknown,Kachidoki Studio,Original,? eps,N/A,936,"Mar 26, 2011",https://cdn.myanimelist.net/images/anime/2/28900.jpg
Uchuu Nanchara Kotetsu-kun,Space,Fanworks,Web manga,64 eps,N/A,847,"Apr 7, 2021",https://cdn.myanimelist.net/images/anime/1226/112286.jpg
Duel Masters Win,Unknown,"Brain's Base, Shogakukan Music & Digital Entertainment",Original,29 eps,N/A,838,Unknown,https://cdn.myanimelist.net/images/anime/1836/126594.jpg
Shimajirou no Wow!,Unknown,The Answer Studio,Other,? eps,N/A,661,"Apr 2, 2012",https://cdn.myanimelist.net/images/anime/9/50737.jpg
Manul no Yuube,Unknown,Unknown,Web manga,? eps,N/A,613,"Nov 11, 2018",https://cdn.myanimelist.net/images/anime/1980/96936.jpg
Punirunes,Unknown,OLM Digital,Original,25 eps,N/A,542,"Oct 2, 2022",https://cdn.myanimelist.net/images/anime/1246/128731.jpg
Gohan Kaijuu Pap,Unknown,DLE,Original,? eps,N/A,538,"Apr 25, 2011",https://cdn.myanimelist.net/images/anime/13/59289.jpg
Yowamushi Monsters,Unknown,Unknown,Original,? eps,N/A,504,"Dec 25, 2012",https://cdn.myanimelist.net/images/anime/11/72127.jpg
Ehon Yose,"Historical, Performing Arts",Unknown,Other,73 eps,N/A,455,Unknown,https://cdn.myanimelist.net/images/anime/3/67979.jpg
Otoppe,Music,Unknown,Original,? eps,N/A,419,"Apr 3, 2017",https://cdn.myanimelist.net/images/anime/4/85180.jpg
Obake Zukan!,Mythology,Fanworks,Picture book,13 eps,N/A,407,"Oct 5, 2022",https://cdn.myanimelist.net/images/anime/1064/126825.jpg
Chickip Dancers 2nd Season,Unknown,Fanworks,Other,26 eps,N/A,404,Unknown,https://cdn.myanimelist.net/images/anime/1869/129078.jpg
Pakkororin,Unknown,Unknown,Original,? eps,N/A,376,"Mar 28, 2011",https://cdn.myanimelist.net/images/anime/1134/93318.jpg
Reizouko no Tsukenosuke!,Parody,Unknown,Original,? eps,N/A,348,"Oct 1, 2018",https://cdn.myanimelist.net/images/anime/1884/95217.jpg
Origami Ninja Koyankinte,Unknown,Directions,Unknown,? eps,N/A,341,"Apr 7, 2020",https://cdn.myanimelist.net/images/anime/1860/106477.jpg
Madtoy Chatty,Unknown,Kachidoki Studio,Original,50 eps,N/A,312,"Apr 20, 2022",https://cdn.myanimelist.net/images/anime/1292/125603.jpg
Shin Nippon History,Historical,Unknown,Original,? eps,N/A,310,"Jan 6, 2020",https://cdn.myanimelist.net/images/anime/1433/134811.jpg
I Love Me 2nd Season,Unknown,Oddjob,Original,? eps,N/A,269,"Oct 23, 2022",https://cdn.myanimelist.net/images/anime/1581/132395.jpg
Alssongdalssong Catch! Tiniping,"Mahou Shoujo, School",SAMG Entertainment,Original,26 eps,N/A,236,Unknown,https://cdn.myanimelist.net/images/anime/1822/136468.jpg
Youkoso Ninchishou Sekai e,Educational,Unknown,Original,? eps,N/A,156,"Aug 14, 2022",https://cdn.myanimelist.net/images/anime/1573/142457.jpg
Mukashibanashi no Oheya: Tsutaetai Nihon Mukashibanashi,Unknown,Oddjob,Other,? eps,N/A,152,"Jun 14, 2020",https://cdn.myanimelist.net/images/anime/1384/133998.jpg
Mecard Ball Mega,"Mecha, Racing, Strategy Game",Unknown,Original,26 eps,N/A,116,"Nov 5, 2022",https://cdn.myanimelist.net/images/anime/1967/137765.jpg
Hello Carbot Season 12,"Mecha, Racing",Unknown,Original,39 eps,N/A,110,"Apr 3, 2022",https://cdn.myanimelist.net/images/anime/1259/137817.jpg
Miniforce V Rangers,"Anthropomorphic, Mecha",SAMG Entertainment,Original,26 eps,N/A,105,Unknown,https://cdn.myanimelist.net/images/anime/1097/139592.jpg
Zombie Dumb 3,Unknown,ANYZAC,Original,17 eps,N/A,103,"Oct 27, 2022",https://cdn.myanimelist.net/images/anime/1419/136850.jpg
Shuumatsu no Walküre II,"Gore, Mythology","Graphinica, Yumeta Company",Manga,10 eps,7.50,121K,"Jan 26, 2023",https://cdn.myanimelist.net/images/anime/1213/124646.jpg
Gokushufudou Season 2,"Adult Cast, Gag Humor, Organized Crime",J.C.Staff,Web manga,5 eps,7.57,79K,"Jan 1, 2023",https://cdn.myanimelist.net/images/anime/1985/132227.jpg
Super Dragon Ball Heroes,"Martial Arts, Super Power","Dimps, Toei Animation",Game,? eps,5.33,76K,"Jul 1, 2018",https://cdn.myanimelist.net/images/anime/1480/92990.jpg
Holo no Graffiti,Unknown,Hololive Production,Other,? eps,8.17,56K,"May 5, 2019",https://cdn.myanimelist.net/images/anime/1259/110227.jpg
Itou Junji: Maniac,Unknown,Studio Deen,Manga,12 eps,6.63,55K,"Jan 19, 2023",https://cdn.myanimelist.net/images/anime/1956/132879.jpg
Aggressive Retsuko (ONA) 5th Season,"Anthropomorphic, Workplace",Fanworks,Other,10 eps,7.44,29K,"Feb 16, 2023",https://cdn.myanimelist.net/images/anime/1321/132900.jpg
Wu Liuqi: Anying Suming,"Martial Arts, Super Power","AHA Entertainment, Sharefun Studio",Original,10 eps,8.14,24K,"Jan 18, 2023",https://cdn.myanimelist.net/images/anime/1088/132178.jpg
Vinland Saga Season 2: Drowning in the Shadow,"Gore, Historical",MAPPA,Manga,1 eps,7.45,23K,"Feb 14, 2023",https://cdn.myanimelist.net/images/anime/1118/133378.jpg
Zuoshou Shanglan,Team Sports,Heart & Soul Animation,Original,8 eps,7.02,8.3K,"Feb 2, 2023",https://cdn.myanimelist.net/images/anime/1700/122189.jpg
COLORs,Crossdressing,Wit Studio,Original,1 eps,7.57,7.8K,"Mar 24, 2023",https://cdn.myanimelist.net/images/anime/1241/132103.jpg
Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai,Unknown,DLE,Manga,33 eps,7.29,6.7K,"Feb 4, 2023",https://cdn.myanimelist.net/images/anime/1800/132226.jpg
Make My Day,Unknown,5 Inc.,Original,8 eps,5.81,5.8K,"Feb 2, 2023",https://cdn.myanimelist.net/images/anime/1105/137747.jpg
Li Shi Zhentan Shiwusuo: A Day in Lungmen,"Anthropomorphic, Detective",Gravity Well,Game,6 eps,6.54,4.8K,"Dec 23, 2022",https://cdn.myanimelist.net/images/anime/1641/131849.jpg
Lupin III vs. Cat's Eye,Adult Cast,TMS Entertainment,Original,1 eps,6.57,4.2K,"Jan 27, 2023",https://cdn.myanimelist.net/images/anime/1326/131658.jpg
Yoru wa Neko to Issho Season 2,Pets,Studio PuYUKAI,Web manga,30 eps,7.13,3.6K,"Mar 8, 2023",https://cdn.myanimelist.net/images/anime/1557/132646.jpg
"Ijiranaide, Nagatoro-san 2nd Attack Mini Anime",School,AQUA ARIS,Manga,12 eps,6.14,3.3K,"Jan 8, 2023",https://cdn.myanimelist.net/images/anime/1383/132539.jpg
Petit Cool Doji Danshi no Hitokoma,Unknown,AQUA ARIS,Web manga,2 eps,6.25,3.3K,"Mar 21, 2023",https://cdn.myanimelist.net/images/anime/1612/134171.jpg
Huangjin Tingyuan: Dongri Li de Xinnian Yuanwang,Unknown,HuaMei Animation,Game,2 eps,7.74,3.3K,"Jan 20, 2023",https://cdn.myanimelist.net/images/anime/1830/134820.jpg
Koumi-jima Shuu 7 de Umeru Mesu-tachi,Harem,Seven,Other,2 eps,6.26,3.1K,"Feb 17, 2023",https://cdn.myanimelist.net/images/anime/1332/137237.jpg
Toutotsu ni Egypt Shin 2,Mythology,Typhoon Graphics,Other,10 eps,6.59,2.9K,"Jan 11, 2023",https://cdn.myanimelist.net/images/anime/1448/122765.jpg
Yao Shen Ji 6th Season,"Martial Arts, Mythology",Ruo Hong Culture,Novel,52 eps,7.67,2.2K,"Jan 14, 2023",https://cdn.myanimelist.net/images/anime/1257/132857.jpg
Kuromi's Pretty Journey,Unknown,Qzil.la,Original,21 eps,6.54,2.1K,"Feb 17, 2023",https://cdn.myanimelist.net/images/anime/1398/133473.jpg
Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life Mini Anime Episode 0,Unknown,AQUA ARIS,Light novel,1 eps,5.73,2.0K,"Jan 3, 2023",https://cdn.myanimelist.net/images/anime/1864/135298.jpg
Inu to Shounen,Unknown,Wit Studio,Original,1 eps,5.54,1.8K,"Jan 31, 2023",https://cdn.myanimelist.net/images/anime/1341/133099.jpg
Shixiong A Shixiong,"Historical, Martial Arts",Sparkly Key Animation Studio,Web novel,13 eps,7.57,1.7K,"Jan 19, 2023",https://cdn.myanimelist.net/images/anime/1209/132496.jpg
Lian Qi Shi Wan Nian,"Historical, Martial Arts",Suoyi Technology,Web novel,160 eps,7.36,1.6K,"Feb 18, 2023",https://cdn.myanimelist.net/images/anime/1567/133308.jpg
Tentai Kansoku,School,Flat Studio,Original,1 eps,6.77,1.6K,"Mar 20, 2023",https://cdn.myanimelist.net/images/anime/1722/132107.jpg
Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life Mini Anime,Unknown,AQUA ARIS,Light novel,12 eps,5.95,1.6K,"Jan 11, 2023",https://cdn.myanimelist.net/images/anime/1058/135325.jpg
Xian Wu Chuan,"Historical, Martial Arts",Xiaoming Taiji,Web novel,26 eps,7.12,1.5K,"Mar 19, 2023",https://cdn.myanimelist.net/images/anime/1401/126049.jpg
Zhongguo Qi Tan,Unknown,Shanghai Animation Film Studio,Original,8 eps,6.63,1.3K,"Jan 1, 2023",https://cdn.myanimelist.net/images/anime/1099/131981.jpg
